"User ID","Username","Email","Full Name","User Status","Legacy Hotel ID","Role Code","Property Hotel ID","Relationship Type","Property Status","Is Primary Owner"
"USER-0001","account-0001","masked-email-0001","Masked User 0001","ACTIVE","","SUPER_ADMIN","","","",""
"USER-0002","account-0002","masked-email-0002","Masked User 0002","ACTIVE","PROPERTY-0001","HOTEL_MANAGER","","","",""
"USER-0003","account-0003","masked-email-0003","Masked User 0003","ACTIVE","PROPERTY-0001","RECEPTIONIST","","","",""
"USER-0004","account-0004","masked-email-0004","Masked User 0004","ACTIVE","","CUSTOMER","","","",""
"USER-0005","account-0005","masked-email-0005","Masked User 0005","ACTIVE","","CUSTOMER","","","",""
"USER-0006","account-0006","masked-email-0006","Masked User 0006","ACTIVE","PROPERTY-0002","PROPERTY_OWNER","PROPERTY-0002","OWNER","ACTIVE","1"
"USER-0007","account-0007","masked-email-0007","Masked User 0007","ACTIVE","PROPERTY-0003","PROPERTY_OWNER","PROPERTY-0003","OWNER","ACTIVE","1"
"USER-0008","account-0008","masked-email-0008","Masked User 0008","ACTIVE","PROPERTY-0004","PROPERTY_OWNER","PROPERTY-0004","OWNER","ACTIVE","1"
"USER-0009","account-0009","masked-email-0009","Masked User 0009","ACTIVE","PROPERTY-0005","PROPERTY_OWNER","PROPERTY-0005","OWNER","ACTIVE","1"
"USER-0010","account-0010","masked-email-0010","Masked User 0010","ACTIVE","PROPERTY-0006","PROPERTY_OWNER","PROPERTY-0006","OWNER","ACTIVE","1"
"USER-0011","account-0011","masked-email-0011","Masked User 0011","ACTIVE","PROPERTY-0007","PROPERTY_OWNER","PROPERTY-0007","OWNER","ACTIVE","1"
"USER-0012","account-0012","masked-email-0012","Masked User 0012","ACTIVE","PROPERTY-0008","PROPERTY_OWNER","PROPERTY-0008","OWNER","ACTIVE","1"
"USER-0013","account-0013","masked-email-0013","Masked User 0013","ACTIVE","PROPERTY-0009","PROPERTY_OWNER","PROPERTY-0009","OWNER","ACTIVE","1"
"USER-0014","account-0014","masked-email-0014","Masked User 0014","ACTIVE","PROPERTY-0010","PROPERTY_OWNER","PROPERTY-0010","OWNER","ACTIVE","1"
"USER-0015","account-0015","masked-email-0015","Masked User 0015","ACTIVE","PROPERTY-0011","PROPERTY_OWNER","PROPERTY-0011","OWNER","ACTIVE","1"
"USER-0016","account-0016","masked-email-0016","Masked User 0016","ACTIVE","PROPERTY-0012","PROPERTY_OWNER","PROPERTY-0012","OWNER","ACTIVE","1"
"USER-0017","account-0017","masked-email-0017","Masked User 0017","ACTIVE","PROPERTY-0013","PROPERTY_OWNER","PROPERTY-0013","OWNER","ACTIVE","1"
"USER-0018","account-0018","masked-email-0018","Masked User 0018","ACTIVE","PROPERTY-0014","PROPERTY_OWNER","PROPERTY-0014","OWNER","ACTIVE","1"
"USER-0019","account-0019","masked-email-0019","Masked User 0019","ACTIVE","PROPERTY-0015","PROPERTY_OWNER","PROPERTY-0015","OWNER","ACTIVE","1"
"USER-0020","account-0020","masked-email-0020","Masked User 0020","ACTIVE","PROPERTY-0016","PROPERTY_OWNER","PROPERTY-0016","OWNER","ACTIVE","1"
"USER-0021","account-0021","masked-email-0021","Masked User 0021","ACTIVE","PROPERTY-0017","PROPERTY_OWNER","PROPERTY-0017","OWNER","ACTIVE","1"
"USER-0022","account-0022","masked-email-0022","Masked User 0022","ACTIVE","PROPERTY-0018","PROPERTY_OWNER","PROPERTY-0018","OWNER","ACTIVE","1"
"USER-0023","account-0023","masked-email-0023","Masked User 0023","ACTIVE","PROPERTY-0019","PROPERTY_OWNER","PROPERTY-0019","OWNER","ACTIVE","1"
"USER-0024","account-0024","masked-email-0024","Masked User 0024","ACTIVE","PROPERTY-0020","PROPERTY_OWNER","PROPERTY-0020","OWNER","ACTIVE","1"
"USER-0025","account-0025","masked-email-0025","Masked User 0025","ACTIVE","PROPERTY-0021","PROPERTY_OWNER","PROPERTY-0021","OWNER","ACTIVE","1"
"USER-0026","account-0026","masked-email-0026","Masked User 0026","ACTIVE","PROPERTY-0022","PROPERTY_OWNER","PROPERTY-0022","OWNER","ACTIVE","1"
"USER-0027","account-0027","masked-email-0027","Masked User 0027","ACTIVE","PROPERTY-0023","PROPERTY_OWNER","PROPERTY-0023","OWNER","ACTIVE","1"
"USER-0028","account-0028","masked-email-0028","Masked User 0028","ACTIVE","PROPERTY-0024","PROPERTY_OWNER","PROPERTY-0024","OWNER","ACTIVE","1"
"USER-0029","account-0029","masked-email-0029","Masked User 0029","ACTIVE","PROPERTY-0025","PROPERTY_OWNER","PROPERTY-0025","OWNER","ACTIVE","1"
"USER-0030","account-0030","masked-email-0030","Masked User 0030","ACTIVE","PROPERTY-0026","PROPERTY_OWNER","PROPERTY-0026","OWNER","ACTIVE","1"
"USER-0031","account-0031","masked-email-0031","Masked User 0031","ACTIVE","PROPERTY-0027","PROPERTY_OWNER","PROPERTY-0027","OWNER","ACTIVE","1"
"USER-0032","account-0032","masked-email-0032","Masked User 0032","ACTIVE","PROPERTY-0028","PROPERTY_OWNER","PROPERTY-0028","OWNER","ACTIVE","1"
"USER-0033","account-0033","masked-email-0033","Masked User 0033","ACTIVE","PROPERTY-0029","PROPERTY_OWNER","PROPERTY-0029","OWNER","ACTIVE","1"
"USER-0034","account-0034","masked-email-0034","Masked User 0034","ACTIVE","PROPERTY-0030","PROPERTY_OWNER","PROPERTY-0030","OWNER","ACTIVE","1"
"USER-0035","account-0035","masked-email-0035","Masked User 0035","ACTIVE","PROPERTY-0031","PROPERTY_OWNER","PROPERTY-0031","OWNER","ACTIVE","1"
"USER-0036","account-0036","masked-email-0036","Masked User 0036","ACTIVE","PROPERTY-0032","PROPERTY_OWNER","PROPERTY-0032","OWNER","ACTIVE","1"
"USER-0037","account-0037","masked-email-0037","Masked User 0037","ACTIVE","PROPERTY-0033","PROPERTY_OWNER","PROPERTY-0033","OWNER","ACTIVE","1"
"USER-0038","account-0038","masked-email-0038","Masked User 0038","ACTIVE","PROPERTY-0034","PROPERTY_OWNER","PROPERTY-0034","OWNER","ACTIVE","1"
"USER-0039","account-0039","masked-email-0039","Masked User 0039","ACTIVE","PROPERTY-0035","PROPERTY_OWNER","PROPERTY-0035","OWNER","ACTIVE","1"
"USER-0040","account-0040","masked-email-0040","Masked User 0040","ACTIVE","PROPERTY-0036","PROPERTY_OWNER","PROPERTY-0036","OWNER","ACTIVE","1"
"USER-0041","account-0041","masked-email-0041","Masked User 0041","ACTIVE","PROPERTY-0037","PROPERTY_OWNER","PROPERTY-0037","OWNER","ACTIVE","1"
"USER-0042","account-0042","masked-email-0042","Masked User 0042","ACTIVE","PROPERTY-0038","PROPERTY_OWNER","PROPERTY-0038","OWNER","ACTIVE","1"
"USER-0043","account-0043","masked-email-0043","Masked User 0043","ACTIVE","PROPERTY-0039","PROPERTY_OWNER","PROPERTY-0039","OWNER","ACTIVE","1"
"USER-0044","account-0044","masked-email-0044","Masked User 0044","ACTIVE","PROPERTY-0040","PROPERTY_OWNER","PROPERTY-0040","OWNER","ACTIVE","1"
"USER-0045","account-0045","masked-email-0045","Masked User 0045","ACTIVE","PROPERTY-0041","PROPERTY_OWNER","PROPERTY-0041","OWNER","ACTIVE","1"
"USER-0046","account-0046","masked-email-0046","Masked User 0046","ACTIVE","PROPERTY-0042","PROPERTY_OWNER","PROPERTY-0042","OWNER","ACTIVE","1"
"USER-0047","account-0047","masked-email-0047","Masked User 0047","ACTIVE","PROPERTY-0043","PROPERTY_OWNER","PROPERTY-0043","OWNER","ACTIVE","1"
"USER-0048","account-0048","masked-email-0048","Masked User 0048","ACTIVE","PROPERTY-0044","PROPERTY_OWNER","PROPERTY-0044","OWNER","ACTIVE","1"
"USER-0049","account-0049","masked-email-0049","Masked User 0049","ACTIVE","PROPERTY-0045","PROPERTY_OWNER","PROPERTY-0045","OWNER","ACTIVE","1"
"USER-0050","account-0050","masked-email-0050","Masked User 0050","ACTIVE","PROPERTY-0046","PROPERTY_OWNER","PROPERTY-0046","OWNER","ACTIVE","1"
"USER-0051","account-0051","masked-email-0051","Masked User 0051","ACTIVE","PROPERTY-0047","PROPERTY_OWNER","PROPERTY-0047","OWNER","ACTIVE","1"
"USER-0052","account-0052","masked-email-0052","Masked User 0052","ACTIVE","PROPERTY-0048","PROPERTY_OWNER","PROPERTY-0048","OWNER","ACTIVE","1"
"USER-0053","account-0053","masked-email-0053","Masked User 0053","ACTIVE","PROPERTY-0049","PROPERTY_OWNER","PROPERTY-0049","OWNER","ACTIVE","1"
"USER-0054","account-0054","masked-email-0054","Masked User 0054","ACTIVE","PROPERTY-0050","PROPERTY_OWNER","PROPERTY-0050","OWNER","ACTIVE","1"
"USER-0055","account-0055","masked-email-0055","Masked User 0055","ACTIVE","PROPERTY-0051","PROPERTY_OWNER","PROPERTY-0051","OWNER","ACTIVE","1"
"USER-0056","account-0056","masked-email-0056","Masked User 0056","ACTIVE","PROPERTY-0052","PROPERTY_OWNER","PROPERTY-0052","OWNER","ACTIVE","1"
"USER-0057","account-0057","masked-email-0057","Masked User 0057","ACTIVE","PROPERTY-0053","PROPERTY_OWNER","PROPERTY-0053","OWNER","ACTIVE","1"
"USER-0058","account-0058","masked-email-0058","Masked User 0058","ACTIVE","PROPERTY-0054","PROPERTY_OWNER","PROPERTY-0054","OWNER","ACTIVE","1"
"USER-0059","account-0059","masked-email-0059","Masked User 0059","ACTIVE","PROPERTY-0055","PROPERTY_OWNER","PROPERTY-0055","OWNER","ACTIVE","1"
"USER-0060","account-0060","masked-email-0060","Masked User 0060","ACTIVE","PROPERTY-0056","PROPERTY_OWNER","PROPERTY-0056","OWNER","ACTIVE","1"
"USER-0061","account-0061","masked-email-0061","Masked User 0061","ACTIVE","PROPERTY-0057","PROPERTY_OWNER","PROPERTY-0057","OWNER","ACTIVE","1"
"USER-0062","account-0062","masked-email-0062","Masked User 0062","ACTIVE","PROPERTY-0058","PROPERTY_OWNER","PROPERTY-0058","OWNER","ACTIVE","1"
"USER-0063","account-0063","masked-email-0063","Masked User 0063","ACTIVE","PROPERTY-0059","PROPERTY_OWNER","PROPERTY-0059","OWNER","ACTIVE","1"
"USER-0064","account-0064","masked-email-0064","Masked User 0064","ACTIVE","PROPERTY-0060","PROPERTY_OWNER","PROPERTY-0060","OWNER","ACTIVE","1"
"USER-0065","account-0065","masked-email-0065","Masked User 0065","ACTIVE","PROPERTY-0061","PROPERTY_OWNER","PROPERTY-0061","OWNER","ACTIVE","1"
"USER-0066","account-0066","masked-email-0066","Masked User 0066","ACTIVE","PROPERTY-0062","PROPERTY_OWNER","PROPERTY-0062","OWNER","ACTIVE","1"
"USER-0067","account-0067","masked-email-0067","Masked User 0067","ACTIVE","PROPERTY-0063","PROPERTY_OWNER","PROPERTY-0063","OWNER","ACTIVE","1"
"USER-0068","account-0068","masked-email-0068","Masked User 0068","ACTIVE","PROPERTY-0064","PROPERTY_OWNER","PROPERTY-0064","OWNER","ACTIVE","1"
"USER-0069","account-0069","masked-email-0069","Masked User 0069","ACTIVE","PROPERTY-0065","PROPERTY_OWNER","PROPERTY-0065","OWNER","ACTIVE","1"
"USER-0070","account-0070","masked-email-0070","Masked User 0070","ACTIVE","PROPERTY-0066","PROPERTY_OWNER","PROPERTY-0066","OWNER","ACTIVE","1"
"USER-0071","account-0071","masked-email-0071","Masked User 0071","ACTIVE","PROPERTY-0067","PROPERTY_OWNER","PROPERTY-0067","OWNER","ACTIVE","1"
"USER-0072","account-0072","masked-email-0072","Masked User 0072","ACTIVE","PROPERTY-0068","PROPERTY_OWNER","PROPERTY-0068","OWNER","ACTIVE","1"
"USER-0073","account-0073","masked-email-0073","Masked User 0073","ACTIVE","PROPERTY-0069","PROPERTY_OWNER","PROPERTY-0069","OWNER","ACTIVE","1"
"USER-0074","account-0074","masked-email-0074","Masked User 0074","ACTIVE","PROPERTY-0070","PROPERTY_OWNER","PROPERTY-0070","OWNER","ACTIVE","1"
"USER-0075","account-0075","masked-email-0075","Masked User 0075","ACTIVE","PROPERTY-0071","PROPERTY_OWNER","PROPERTY-0071","OWNER","ACTIVE","1"
"USER-0076","account-0076","masked-email-0076","Masked User 0076","ACTIVE","PROPERTY-0072","PROPERTY_OWNER","PROPERTY-0072","OWNER","ACTIVE","1"
"USER-0077","account-0077","masked-email-0077","Masked User 0077","ACTIVE","PROPERTY-0073","PROPERTY_OWNER","PROPERTY-0073","OWNER","ACTIVE","1"
"USER-0078","account-0078","masked-email-0078","Masked User 0078","ACTIVE","PROPERTY-0074","PROPERTY_OWNER","PROPERTY-0074","OWNER","ACTIVE","1"
"USER-0079","account-0079","masked-email-0079","Masked User 0079","ACTIVE","PROPERTY-0075","PROPERTY_OWNER","PROPERTY-0075","OWNER","ACTIVE","1"
"USER-0080","account-0080","masked-email-0080","Masked User 0080","ACTIVE","PROPERTY-0076","PROPERTY_OWNER","PROPERTY-0076","OWNER","ACTIVE","1"
"USER-0081","account-0081","masked-email-0081","Masked User 0081","ACTIVE","PROPERTY-0077","PROPERTY_OWNER","PROPERTY-0077","OWNER","ACTIVE","1"
"USER-0082","account-0082","masked-email-0082","Masked User 0082","ACTIVE","PROPERTY-0078","PROPERTY_OWNER","PROPERTY-0078","OWNER","ACTIVE","1"
"USER-0083","account-0083","masked-email-0083","Masked User 0083","ACTIVE","PROPERTY-0079","PROPERTY_OWNER","PROPERTY-0079","OWNER","ACTIVE","1"
"USER-0084","account-0084","masked-email-0084","Masked User 0084","ACTIVE","PROPERTY-0080","PROPERTY_OWNER","PROPERTY-0080","OWNER","ACTIVE","1"
"USER-0085","account-0085","masked-email-0085","Masked User 0085","ACTIVE","PROPERTY-0081","PROPERTY_OWNER","PROPERTY-0081","OWNER","ACTIVE","1"
